,month,hour,boro,noise_counts
0,1,00,Bronx,43112660180
1,1,00,Brooklyn,45141420845
2,1,00,Manhattan,54362600632
3,1,00,Queens,34961490903
4,1,00,Staten Island,3725636620
5,1,01,Bronx,31097860795
6,1,01,Brooklyn,31675684939
7,1,01,Manhattan,40418723901
8,1,01,Queens,24848180487
9,1,01,Staten Island,3050796592
10,1,02,Bronx,21786201843
11,1,02,Brooklyn,20834160546
12,1,02,Manhattan,23212618835
13,1,02,Queens,17284141051
14,1,02,Staten Island,2502059489
15,1,03,Bronx,13661592250
16,1,03,Brooklyn,13925040011
17,1,03,Manhattan,17676825952
18,1,03,Queens,10905112476
19,1,03,Staten Island,1967511097
20,1,04,Bronx,10930927227
21,1,04,Brooklyn,10697666767
22,1,04,Manhattan,12223801344
23,1,04,Queens,9447460656
24,1,04,Staten Island,829754703
25,1,05,Bronx,7577964925
26,1,05,Brooklyn,7486377600
27,1,05,Manhattan,6901847879
28,1,05,Queens,4520979493
29,1,05,Staten Island,296735521
30,1,06,Bronx,5210035098
31,1,06,Brooklyn,8213722084
32,1,06,Manhattan,6563018456
33,1,06,Queens,5128760225
34,1,06,Staten Island,444396345
35,1,07,Bronx,5716098911
36,1,07,Brooklyn,10507771484
37,1,07,Manhattan,7990500893
38,1,07,Queens,5523056438
39,1,07,Staten Island,742416635
40,1,08,Bronx,6794504437
41,1,08,Brooklyn,11154840806
42,1,08,Manhattan,9857369925
43,1,08,Queens,5961093308
44,1,08,Staten Island,1084836454
45,1,09,Bronx,9925873955
46,1,09,Brooklyn,13663959950
47,1,09,Manhattan,12042690770
48,1,09,Queens,7979546266
49,1,09,Staten Island,1973919951
50,1,10,Bronx,9912785085
51,1,10,Brooklyn,13066601402
52,1,10,Manhattan,12721224989
53,1,10,Queens,9373218404
54,1,10,Staten Island,1434543163
55,1,11,Bronx,12772351836
56,1,11,Brooklyn,13425837228
57,1,11,Manhattan,11994038876
58,1,11,Queens,10709971204
59,1,11,Staten Island,1382862895
60,1,12,Bronx,20131871518
61,1,12,Brooklyn,13369423833
62,1,12,Manhattan,12977951424
63,1,12,Queens,10909890760
64,1,12,Staten Island,1133709572
65,1,13,Bronx,24672416129
66,1,13,Brooklyn,13515837349
67,1,13,Manhattan,15310888938
68,1,13,Queens,10599942942
69,1,13,Staten Island,1185077476
70,1,14,Bronx,23280035230
71,1,14,Brooklyn,14890316536
72,1,14,Manhattan,16185937202
73,1,14,Queens,11207786013
74,1,14,Staten Island,1529170707
75,1,15,Bronx,23986768128
76,1,15,Brooklyn,13459116415
77,1,15,Manhattan,17103905176
78,1,15,Queens,13071901780
79,1,15,Staten Island,1577450542
80,1,16,Bronx,20730234549
81,1,16,Brooklyn,14997289795
82,1,16,Manhattan,18602516147
83,1,16,Queens,14573863113
84,1,16,Staten Island,1627871818
85,1,17,Bronx,30726693042
86,1,17,Brooklyn,16425012673
87,1,17,Manhattan,21627503947
88,1,17,Queens,14066694612
89,1,17,Staten Island,1230694020
90,1,18,Bronx,42063270411
91,1,18,Brooklyn,17945859739
92,1,18,Manhattan,21068984747
93,1,18,Queens,13228495372
94,1,18,Staten Island,1676859809
95,1,19,Bronx,32811840074
96,1,19,Brooklyn,24772134300
97,1,19,Manhattan,26010226598
98,1,19,Queens,15044841695
99,1,19,Staten Island,1627582069
100,1,20,Bronx,29785415150
101,1,20,Brooklyn,24379138545
102,1,20,Manhattan,28465731254
103,1,20,Queens,15240237528
104,1,20,Staten Island,1634929935
105,1,21,Bronx,41706157712
106,1,21,Brooklyn,32822031102
107,1,21,Manhattan,37539820650
108,1,21,Queens,20326240915
109,1,21,Staten Island,2372111687
110,1,22,Bronx,50993034236
111,1,22,Brooklyn,44676340657
112,1,22,Manhattan,51645925352
113,1,22,Queens,28181597063
114,1,22,Staten Island,3209912985
115,1,23,Bronx,52038243891
116,1,23,Brooklyn,45541891071
117,1,23,Manhattan,60171405162
118,1,23,Queens,29534665668
119,1,23,Staten Island,3156663944
120,2,00,Bronx,38591071176
121,2,00,Brooklyn,40286926389
122,2,00,Manhattan,51094294338
123,2,00,Queens,26936300160
124,2,00,Staten Island,2539458607
125,2,01,Bronx,26344876843
126,2,01,Brooklyn,29335952253
127,2,01,Manhattan,36405262678
128,2,01,Queens,20863520757
129,2,01,Staten Island,1793007462
130,2,02,Bronx,19272260654
131,2,02,Brooklyn,21272327744
132,2,02,Manhattan,20622609723
133,2,02,Queens,11508028910
134,2,02,Staten Island,1194959454
135,2,03,Bronx,14391881034
136,2,03,Brooklyn,11354700717
137,2,03,Manhattan,14890429424
138,2,03,Queens,8466398516
139,2,03,Staten Island,1045591220
140,2,04,Bronx,8118066094
141,2,04,Brooklyn,8217588884
142,2,04,Manhattan,9662253706
143,2,04,Queens,5924871812
144,2,04,Staten Island,796876680
145,2,05,Bronx,5528535935
146,2,05,Brooklyn,6373251313
147,2,05,Manhattan,6972420492
148,2,05,Queens,5029642850
149,2,05,Staten Island,547619101
150,2,06,Bronx,4431549310
151,2,06,Brooklyn,4879515751
152,2,06,Manhattan,5975830394
153,2,06,Queens,4880198132
154,2,06,Staten Island,448282686
155,2,07,Bronx,4132465922
156,2,07,Brooklyn,7369199328
157,2,07,Manhattan,8165981856
158,2,07,Queens,4432071220
159,2,07,Staten Island,398487965
160,2,08,Bronx,6423986056
161,2,08,Brooklyn,9212115065
162,2,08,Manhattan,8017357107
163,2,08,Queens,5279262694
164,2,08,Staten Island,845760282
165,2,09,Bronx,5875891967
166,2,09,Brooklyn,11253133243
167,2,09,Manhattan,9361422813
168,2,09,Queens,6175338583
169,2,09,Staten Island,1145545574
170,2,10,Bronx,8066325366
171,2,10,Brooklyn,10455843900
172,2,10,Manhattan,10756812091
173,2,10,Queens,7418793912
174,2,10,Staten Island,1145592197
175,2,11,Bronx,8563964746
176,2,11,Brooklyn,10255826839
177,2,11,Manhattan,12249782450
178,2,11,Queens,8314994410
179,2,11,Staten Island,895867633
180,2,12,Bronx,8515064808
181,2,12,Brooklyn,11852012421
182,2,12,Manhattan,12548729420
183,2,12,Queens,7518513672
184,2,12,Staten Island,1294410149
185,2,13,Bronx,8814086239
186,2,13,Brooklyn,12251509334
187,2,13,Manhattan,13246009042
188,2,13,Queens,7221396291
189,2,13,Staten Island,796932061
190,2,14,Bronx,10208586535
191,2,14,Brooklyn,12251384146
192,2,14,Manhattan,15088133977
193,2,14,Queens,10108282473
194,2,14,Staten Island,1195053927
195,2,15,Bronx,11452852313
196,2,15,Brooklyn,11953725351
197,2,15,Manhattan,17029476350
198,2,15,Queens,7568431205
199,2,15,Staten Island,1095205017
200,2,16,Bronx,11951811961
201,2,16,Brooklyn,12551550025
202,2,16,Manhattan,13844254571
203,2,16,Queens,10356573347
204,2,16,Staten Island,1344008011
205,2,17,Bronx,14986434688
206,2,17,Brooklyn,14092791055
207,2,17,Manhattan,16133561483
208,2,17,Queens,11553171306
209,2,17,Staten Island,1544030425
210,2,18,Bronx,16532497112
211,2,18,Brooklyn,15733662842
212,2,18,Manhattan,17579599942
213,2,18,Queens,13545421983
214,2,18,Staten Island,1294869498
215,2,19,Bronx,18871965467
216,2,19,Brooklyn,18225769220
217,2,19,Manhattan,21613557284
218,2,19,Queens,14044157761
219,2,19,Staten Island,1244627002
220,2,20,Bronx,21809578880
221,2,20,Brooklyn,24054403459
222,2,20,Manhattan,26889607805
223,2,20,Queens,15287942173
224,2,20,Staten Island,1742680056
225,2,21,Bronx,27289326169
226,2,21,Brooklyn,32667202053
227,2,21,Manhattan,32423265804
228,2,21,Queens,18722774285
229,2,21,Staten Island,2339680785
230,2,22,Bronx,39591768426
231,2,22,Brooklyn,42178136537
232,2,22,Manhattan,45668618763
233,2,22,Queens,24994798868
234,2,22,Staten Island,3386186796
235,2,23,Bronx,40133017156
236,2,23,Brooklyn,46263975868
237,2,23,Manhattan,57571729684
238,2,23,Queens,29529073877
239,2,23,Staten Island,3784824465
240,3,00,Bronx,51240355935
241,3,00,Brooklyn,50691786556
242,3,00,Manhattan,75914215252
243,3,00,Queens,42988903348
244,3,00,Staten Island,3502828713
245,3,01,Bronx,33497167744
246,3,01,Brooklyn,35535967361
247,3,01,Manhattan,49770771458
248,3,01,Queens,25934833150
249,3,01,Staten Island,2654030242
250,3,02,Bronx,20922797143
251,3,02,Brooklyn,19371425184
252,3,02,Manhattan,24831528558
253,3,02,Queens,17867876268
254,3,02,Staten Island,1751262428
255,3,03,Bronx,14714836029
256,3,03,Brooklyn,14212411719
257,3,03,Manhattan,16667575750
258,3,03,Queens,12559682155
259,3,03,Staten Island,800593933
260,3,04,Bronx,10158846973
261,3,04,Brooklyn,10056874906
262,3,04,Manhattan,13361167747
263,3,04,Queens,6103689682
264,3,04,Staten Island,650064403
265,3,05,Bronx,5954968721
266,3,05,Brooklyn,8205699111
267,3,05,Manhattan,6655304681
268,3,05,Queens,6653335323
269,3,05,Staten Island,901381756
270,3,06,Bronx,4753638461
271,3,06,Brooklyn,8307107969
272,3,06,Manhattan,8955800400
273,3,06,Queens,8253877900
274,3,06,Staten Island,500549423
275,3,07,Bronx,5905198887
276,3,07,Brooklyn,9855398989
277,3,07,Manhattan,10657500650
278,3,07,Queens,6904073540
279,3,07,Staten Island,1350208429
280,3,08,Bronx,6754292267
281,3,08,Brooklyn,11506052135
282,3,08,Manhattan,13059034681
283,3,08,Queens,8604922247
284,3,08,Staten Island,1000321465
285,3,09,Bronx,7855185551
286,3,09,Brooklyn,15409084760
287,3,09,Manhattan,15459034073
288,3,09,Queens,9856031820
289,3,09,Staten Island,1800835777
290,3,10,Bronx,9455401713
291,3,10,Brooklyn,13460036477
292,3,10,Manhattan,15506956058
293,3,10,Queens,12653815035
294,3,10,Staten Island,1251115504
295,3,11,Bronx,9705328284
296,3,11,Brooklyn,15061261068
297,3,11,Manhattan,18356995905
298,3,11,Queens,11755777714
299,3,11,Staten Island,1451027847
300,3,12,Bronx,11608227544
301,3,12,Brooklyn,16460773971
302,3,12,Manhattan,17763167484
303,3,12,Queens,11057952007
304,3,12,Staten Island,1200389864
305,3,13,Bronx,15159802148
306,3,13,Brooklyn,15961392603
307,3,13,Manhattan,17614885183
308,3,13,Queens,13459218935
309,3,13,Staten Island,1751360246
310,3,14,Bronx,15111269136
311,3,14,Brooklyn,20215629047
312,3,14,Manhattan,21919959640
313,3,14,Queens,14514001992
314,3,14,Staten Island,1651111792
315,3,15,Bronx,19566402141
