,complaint_type,month,hour,noise_count
0,Banging/Pounding,1,00,166
1,Banging/Pounding,1,01,125
2,Banging/Pounding,1,02,77
3,Banging/Pounding,1,03,50
4,Banging/Pounding,1,04,36
5,Banging/Pounding,1,05,42
6,Banging/Pounding,1,06,26
7,Banging/Pounding,1,07,47
8,Banging/Pounding,1,08,61
9,Banging/Pounding,1,09,68
10,Banging/Pounding,1,10,74
11,Banging/Pounding,1,11,97
12,Banging/Pounding,1,12,89
13,Banging/Pounding,1,13,94
14,Banging/Pounding,1,14,89
15,Banging/Pounding,1,15,125
16,Banging/Pounding,1,16,100
17,Banging/Pounding,1,17,115
18,Banging/Pounding,1,18,143
19,Banging/Pounding,1,19,126
20,Banging/Pounding,1,20,152
21,Banging/Pounding,1,21,172
22,Banging/Pounding,1,22,210
23,Banging/Pounding,1,23,223
24,Banging/Pounding,2,00,177
25,Banging/Pounding,2,01,106
26,Banging/Pounding,2,02,94
27,Banging/Pounding,2,03,45
28,Banging/Pounding,2,04,44
29,Banging/Pounding,2,05,37
30,Banging/Pounding,2,06,22
31,Banging/Pounding,2,07,39
32,Banging/Pounding,2,08,48
33,Banging/Pounding,2,09,57
34,Banging/Pounding,2,10,77
35,Banging/Pounding,2,11,101
36,Banging/Pounding,2,12,89
37,Banging/Pounding,2,13,79
38,Banging/Pounding,2,14,89
39,Banging/Pounding,2,15,102
40,Banging/Pounding,2,16,95
41,Banging/Pounding,2,17,110
42,Banging/Pounding,2,18,119
43,Banging/Pounding,2,19,139
44,Banging/Pounding,2,20,120
45,Banging/Pounding,2,21,168
46,Banging/Pounding,2,22,207
47,Banging/Pounding,2,23,242
48,Banging/Pounding,3,00,181
49,Banging/Pounding,3,01,112
50,Banging/Pounding,3,02,73
51,Banging/Pounding,3,03,60
52,Banging/Pounding,3,04,41
53,Banging/Pounding,3,05,37
54,Banging/Pounding,3,06,30
55,Banging/Pounding,3,07,44
56,Banging/Pounding,3,08,49
57,Banging/Pounding,3,09,69
58,Banging/Pounding,3,10,83
59,Banging/Pounding,3,11,77
60,Banging/Pounding,3,12,68
61,Banging/Pounding,3,13,97
62,Banging/Pounding,3,14,84
63,Banging/Pounding,3,15,92
64,Banging/Pounding,3,16,86
65,Banging/Pounding,3,17,84
66,Banging/Pounding,3,18,77
67,Banging/Pounding,3,19,118
68,Banging/Pounding,3,20,146
69,Banging/Pounding,3,21,161
70,Banging/Pounding,3,22,197
71,Banging/Pounding,3,23,212
72,Banging/Pounding,4,00,131
73,Banging/Pounding,4,01,94
74,Banging/Pounding,4,02,66
75,Banging/Pounding,4,03,38
76,Banging/Pounding,4,04,24
77,Banging/Pounding,4,05,20
78,Banging/Pounding,4,06,35
79,Banging/Pounding,4,07,33
80,Banging/Pounding,4,08,54
81,Banging/Pounding,4,09,69
82,Banging/Pounding,4,10,75
83,Banging/Pounding,4,11,81
84,Banging/Pounding,4,12,60
85,Banging/Pounding,4,13,62
86,Banging/Pounding,4,14,79
87,Banging/Pounding,4,15,71
88,Banging/Pounding,4,16,67
89,Banging/Pounding,4,17,85
90,Banging/Pounding,4,18,97
91,Banging/Pounding,4,19,106
92,Banging/Pounding,4,20,128
93,Banging/Pounding,4,21,165
94,Banging/Pounding,4,22,170
95,Banging/Pounding,4,23,171
96,Banging/Pounding,5,00,140
97,Banging/Pounding,5,01,99
98,Banging/Pounding,5,02,70
99,Banging/Pounding,5,03,45
100,Banging/Pounding,5,04,39
101,Banging/Pounding,5,05,38
102,Banging/Pounding,5,06,40
103,Banging/Pounding,5,07,47
104,Banging/Pounding,5,08,41
105,Banging/Pounding,5,09,59
106,Banging/Pounding,5,10,59
107,Banging/Pounding,5,11,60
108,Banging/Pounding,5,12,61
109,Banging/Pounding,5,13,85
110,Banging/Pounding,5,14,61
111,Banging/Pounding,5,15,71
112,Banging/Pounding,5,16,71
113,Banging/Pounding,5,17,91
114,Banging/Pounding,5,18,95
115,Banging/Pounding,5,19,104
116,Banging/Pounding,5,20,129
117,Banging/Pounding,5,21,132
118,Banging/Pounding,5,22,177
119,Banging/Pounding,5,23,178
120,Banging/Pounding,6,00,144
121,Banging/Pounding,6,01,104
122,Banging/Pounding,6,02,65
123,Banging/Pounding,6,03,31
124,Banging/Pounding,6,04,28
125,Banging/Pounding,6,05,23
126,Banging/Pounding,6,06,28
127,Banging/Pounding,6,07,26
128,Banging/Pounding,6,08,61
129,Banging/Pounding,6,09,51
130,Banging/Pounding,6,10,57
131,Banging/Pounding,6,11,77
132,Banging/Pounding,6,12,58
133,Banging/Pounding,6,13,71
134,Banging/Pounding,6,14,60
135,Banging/Pounding,6,15,75
136,Banging/Pounding,6,16,81
137,Banging/Pounding,6,17,70
138,Banging/Pounding,6,18,83
139,Banging/Pounding,6,19,110
140,Banging/Pounding,6,20,150
141,Banging/Pounding,6,21,142
142,Banging/Pounding,6,22,181
143,Banging/Pounding,6,23,165
144,Banging/Pounding,7,00,128
145,Banging/Pounding,7,01,93
146,Banging/Pounding,7,02,80
147,Banging/Pounding,7,03,32
148,Banging/Pounding,7,04,32
149,Banging/Pounding,7,05,34
150,Banging/Pounding,7,06,23
151,Banging/Pounding,7,07,44
152,Banging/Pounding,7,08,36
153,Banging/Pounding,7,09,42
154,Banging/Pounding,7,10,41
155,Banging/Pounding,7,11,37
156,Banging/Pounding,7,12,32
157,Banging/Pounding,7,13,45
158,Banging/Pounding,7,14,51
159,Banging/Pounding,7,15,58
160,Banging/Pounding,7,16,53
161,Banging/Pounding,7,17,64
162,Banging/Pounding,7,18,84
163,Banging/Pounding,7,19,94
164,Banging/Pounding,7,20,95
165,Banging/Pounding,7,21,126
166,Banging/Pounding,7,22,158
167,Banging/Pounding,7,23,184
168,Banging/Pounding,8,00,94
169,Banging/Pounding,8,01,81
170,Banging/Pounding,8,02,73
171,Banging/Pounding,8,03,46
172,Banging/Pounding,8,04,35
173,Banging/Pounding,8,05,26
174,Banging/Pounding,8,06,26
175,Banging/Pounding,8,07,33
176,Banging/Pounding,8,08,31
177,Banging/Pounding,8,09,47
178,Banging/Pounding,8,10,43
179,Banging/Pounding,8,11,39
180,Banging/Pounding,8,12,42
181,Banging/Pounding,8,13,55
182,Banging/Pounding,8,14,56
183,Banging/Pounding,8,15,62
184,Banging/Pounding,8,16,59
185,Banging/Pounding,8,17,68
186,Banging/Pounding,8,18,56
187,Banging/Pounding,8,19,82
188,Banging/Pounding,8,20,107
189,Banging/Pounding,8,21,117
190,Banging/Pounding,8,22,112
191,Banging/Pounding,8,23,117
192,Banging/Pounding,9,00,116
193,Banging/Pounding,9,01,85
194,Banging/Pounding,9,02,61
195,Banging/Pounding,9,03,45
196,Banging/Pounding,9,04,39
197,Banging/Pounding,9,05,42
198,Banging/Pounding,9,06,31
199,Banging/Pounding,9,07,53
200,Banging/Pounding,9,08,49
201,Banging/Pounding,9,09,57
202,Banging/Pounding,9,10,56
203,Banging/Pounding,9,11,48
204,Banging/Pounding,9,12,56
205,Banging/Pounding,9,13,60
206,Banging/Pounding,9,14,48
207,Banging/Pounding,9,15,59
208,Banging/Pounding,9,16,74
209,Banging/Pounding,9,17,94
210,Banging/Pounding,9,18,105
211,Banging/Pounding,9,19,120
212,Banging/Pounding,9,20,149
213,Banging/Pounding,9,21,143
214,Banging/Pounding,9,22,135
215,Banging/Pounding,9,23,119
216,Banging/Pounding,10,00,121
217,Banging/Pounding,10,01,83
218,Banging/Pounding,10,02,64
219,Banging/Pounding,10,03,49
220,Banging/Pounding,10,04,41
221,Banging/Pounding,10,05,39
222,Banging/Pounding,10,06,57
223,Banging/Pounding,10,07,55
224,Banging/Pounding,10,08,44
225,Banging/Pounding,10,09,51
226,Banging/Pounding,10,10,63
227,Banging/Pounding,10,11,50
228,Banging/Pounding,10,12,67
229,Banging/Pounding,10,13,62
230,Banging/Pounding,10,14,53
231,Banging/Pounding,10,15,74
232,Banging/Pounding,10,16,79
233,Banging/Pounding,10,17,90
234,Banging/Pounding,10,18,114
235,Banging/Pounding,10,19,137
236,Banging/Pounding,10,20,157
237,Banging/Pounding,10,21,172
238,Banging/Pounding,10,22,174
239,Banging/Pounding,10,23,148
240,Banging/Pounding,11,00,150
241,Banging/Pounding,11,01,81
242,Banging/Pounding,11,02,64
243,Banging/Pounding,11,03,31
244,Banging/Pounding,11,04,40
245,Banging/Pounding,11,05,42
246,Banging/Pounding,11,06,50
247,Banging/Pounding,11,07,52
248,Banging/Pounding,11,08,42
249,Banging/Pounding,11,09,40
250,Banging/Pounding,11,10,60
251,Banging/Pounding,11,11,52
252,Banging/Pounding,11,12,55
253,Banging/Pounding,11,13,72
254,Banging/Pounding,11,14,59
255,Banging/Pounding,11,15,72
256,Banging/Pounding,11,16,101
257,Banging/Pounding,11,17,121
258,Banging/Pounding,11,18,125
259,Banging/Pounding,11,19,146
260,Banging/Pounding,11,20,152
261,Banging/Pounding,11,21,177
262,Banging/Pounding,11,22,187
263,Banging/Pounding,11,23,150
