,complaint_type,month,hour,noise_count
0,Banging/Pounding,1,00,161
1,Banging/Pounding,1,01,101
2,Banging/Pounding,1,02,59
3,Banging/Pounding,1,03,66
4,Banging/Pounding,1,04,33
5,Banging/Pounding,1,05,29
6,Banging/Pounding,1,06,39
7,Banging/Pounding,1,07,33
8,Banging/Pounding,1,08,53
9,Banging/Pounding,1,09,77
10,Banging/Pounding,1,10,67
11,Banging/Pounding,1,11,68
12,Banging/Pounding,1,12,72
13,Banging/Pounding,1,13,76
14,Banging/Pounding,1,14,89
15,Banging/Pounding,1,15,91
16,Banging/Pounding,1,16,101
17,Banging/Pounding,1,17,95
18,Banging/Pounding,1,18,115
19,Banging/Pounding,1,19,127
20,Banging/Pounding,1,20,131
21,Banging/Pounding,1,21,171
22,Banging/Pounding,1,22,148
23,Banging/Pounding,1,23,198
24,Banging/Pounding,2,00,131
25,Banging/Pounding,2,01,100
26,Banging/Pounding,2,02,47
27,Banging/Pounding,2,03,52
28,Banging/Pounding,2,04,37
29,Banging/Pounding,2,05,38
30,Banging/Pounding,2,06,27
31,Banging/Pounding,2,07,41
32,Banging/Pounding,2,08,50
33,Banging/Pounding,2,09,53
34,Banging/Pounding,2,10,56
35,Banging/Pounding,2,11,61
36,Banging/Pounding,2,12,69
37,Banging/Pounding,2,13,68
38,Banging/Pounding,2,14,61
39,Banging/Pounding,2,15,91
40,Banging/Pounding,2,16,83
41,Banging/Pounding,2,17,77
42,Banging/Pounding,2,18,89
43,Banging/Pounding,2,19,113
44,Banging/Pounding,2,20,100
45,Banging/Pounding,2,21,135
46,Banging/Pounding,2,22,143
47,Banging/Pounding,2,23,166
48,Banging/Pounding,3,00,146
49,Banging/Pounding,3,01,104
50,Banging/Pounding,3,02,67
51,Banging/Pounding,3,03,33
52,Banging/Pounding,3,04,37
53,Banging/Pounding,3,05,32
54,Banging/Pounding,3,06,27
55,Banging/Pounding,3,07,65
56,Banging/Pounding,3,08,78
57,Banging/Pounding,3,09,54
58,Banging/Pounding,3,10,68
59,Banging/Pounding,3,11,57
60,Banging/Pounding,3,12,65
61,Banging/Pounding,3,13,59
62,Banging/Pounding,3,14,70
63,Banging/Pounding,3,15,71
64,Banging/Pounding,3,16,89
65,Banging/Pounding,3,17,80
66,Banging/Pounding,3,18,115
67,Banging/Pounding,3,19,109
68,Banging/Pounding,3,20,133
69,Banging/Pounding,3,21,159
70,Banging/Pounding,3,22,228
71,Banging/Pounding,3,23,180
72,Banging/Pounding,4,00,146
73,Banging/Pounding,4,01,97
74,Banging/Pounding,4,02,50
75,Banging/Pounding,4,03,44
76,Banging/Pounding,4,04,25
77,Banging/Pounding,4,05,30
78,Banging/Pounding,4,06,44
79,Banging/Pounding,4,07,55
80,Banging/Pounding,4,08,66
81,Banging/Pounding,4,09,69
82,Banging/Pounding,4,10,89
83,Banging/Pounding,4,11,69
84,Banging/Pounding,4,12,47
85,Banging/Pounding,4,13,62
86,Banging/Pounding,4,14,80
87,Banging/Pounding,4,15,74
88,Banging/Pounding,4,16,73
89,Banging/Pounding,4,17,101
90,Banging/Pounding,4,18,79
91,Banging/Pounding,4,19,85
92,Banging/Pounding,4,20,118
93,Banging/Pounding,4,21,159
94,Banging/Pounding,4,22,158
95,Banging/Pounding,4,23,174
96,Banging/Pounding,5,00,149
97,Banging/Pounding,5,01,70
98,Banging/Pounding,5,02,46
99,Banging/Pounding,5,03,35
100,Banging/Pounding,5,04,24
101,Banging/Pounding,5,05,29
102,Banging/Pounding,5,06,36
103,Banging/Pounding,5,07,55
104,Banging/Pounding,5,08,54
105,Banging/Pounding,5,09,54
106,Banging/Pounding,5,10,65
107,Banging/Pounding,5,11,59
108,Banging/Pounding,5,12,73
109,Banging/Pounding,5,13,73
110,Banging/Pounding,5,14,54
111,Banging/Pounding,5,15,57
112,Banging/Pounding,5,16,76
113,Banging/Pounding,5,17,107
114,Banging/Pounding,5,18,95
115,Banging/Pounding,5,19,97
116,Banging/Pounding,5,20,108
117,Banging/Pounding,5,21,145
118,Banging/Pounding,5,22,143
119,Banging/Pounding,5,23,157
120,Banging/Pounding,6,00,114
121,Banging/Pounding,6,01,71
122,Banging/Pounding,6,02,46
