,complaint_type,month,hour,noise_count
0,Banging/Pounding,1,00,132
1,Banging/Pounding,1,01,81
2,Banging/Pounding,1,02,54
3,Banging/Pounding,1,03,43
4,Banging/Pounding,1,04,52
5,Banging/Pounding,1,05,22
6,Banging/Pounding,1,06,25
7,Banging/Pounding,1,07,35
8,Banging/Pounding,1,08,25
9,Banging/Pounding,1,09,52
10,Banging/Pounding,1,10,43
11,Banging/Pounding,1,11,43
12,Banging/Pounding,1,12,55
13,Banging/Pounding,1,13,54
14,Banging/Pounding,1,14,50
15,Banging/Pounding,1,15,59
16,Banging/Pounding,1,16,58
17,Banging/Pounding,1,17,59
18,Banging/Pounding,1,18,58
19,Banging/Pounding,1,19,85
20,Banging/Pounding,1,20,66
21,Banging/Pounding,1,21,88
22,Banging/Pounding,1,22,102
23,Banging/Pounding,1,23,116
24,Banging/Pounding,2,00,114
25,Banging/Pounding,2,01,63
26,Banging/Pounding,2,02,50
27,Banging/Pounding,2,03,33
28,Banging/Pounding,2,04,26
29,Banging/Pounding,2,05,26
30,Banging/Pounding,2,06,41
31,Banging/Pounding,2,07,38
32,Banging/Pounding,2,08,30
33,Banging/Pounding,2,09,36
34,Banging/Pounding,2,10,35
35,Banging/Pounding,2,11,57
36,Banging/Pounding,2,12,46
37,Banging/Pounding,2,13,49
38,Banging/Pounding,2,14,54
39,Banging/Pounding,2,15,52
40,Banging/Pounding,2,16,48
41,Banging/Pounding,2,17,49
42,Banging/Pounding,2,18,63
43,Banging/Pounding,2,19,70
44,Banging/Pounding,2,20,90
45,Banging/Pounding,2,21,103
46,Banging/Pounding,2,22,117
47,Banging/Pounding,2,23,143
48,Banging/Pounding,3,00,126
49,Banging/Pounding,3,01,77
50,Banging/Pounding,3,02,52
51,Banging/Pounding,3,03,65
52,Banging/Pounding,3,04,41
53,Banging/Pounding,3,05,47
54,Banging/Pounding,3,06,57
55,Banging/Pounding,3,07,36
56,Banging/Pounding,3,08,35
57,Banging/Pounding,3,09,39
58,Banging/Pounding,3,10,52
59,Banging/Pounding,3,11,41
60,Banging/Pounding,3,12,42
61,Banging/Pounding,3,13,57
62,Banging/Pounding,3,14,53
63,Banging/Pounding,3,15,56
64,Banging/Pounding,3,16,57
65,Banging/Pounding,3,17,46
66,Banging/Pounding,3,18,63
67,Banging/Pounding,3,19,89
68,Banging/Pounding,3,20,101
69,Banging/Pounding,3,21,113
70,Banging/Pounding,3,22,146
71,Banging/Pounding,3,23,147
72,Banging/Pounding,4,00,107
73,Banging/Pounding,4,01,76
74,Banging/Pounding,4,02,41
75,Banging/Pounding,4,03,48
76,Banging/Pounding,4,04,33
77,Banging/Pounding,4,05,25
78,Banging/Pounding,4,06,26
79,Banging/Pounding,4,07,28
80,Banging/Pounding,4,08,36
81,Banging/Pounding,4,09,48
82,Banging/Pounding,4,10,34
83,Banging/Pounding,4,11,42
84,Banging/Pounding,4,12,30
85,Banging/Pounding,4,13,47
86,Banging/Pounding,4,14,27
87,Banging/Pounding,4,15,38
88,Banging/Pounding,4,16,58
89,Banging/Pounding,4,17,48
90,Banging/Pounding,4,18,53
91,Banging/Pounding,4,19,70
92,Banging/Pounding,4,20,102
93,Banging/Pounding,4,21,107
94,Banging/Pounding,4,22,128
95,Banging/Pounding,4,23,123
96,Banging/Pounding,5,00,85
97,Banging/Pounding,5,01,84
98,Banging/Pounding,5,02,38
99,Banging/Pounding,5,03,48
100,Banging/Pounding,5,04,30
101,Banging/Pounding,5,05,19
102,Banging/Pounding,5,06,26
103,Banging/Pounding,5,07,30
104,Banging/Pounding,5,08,38
105,Banging/Pounding,5,09,33
106,Banging/Pounding,5,10,34
107,Banging/Pounding,5,11,45
108,Banging/Pounding,5,12,31
109,Banging/Pounding,5,13,38
110,Banging/Pounding,5,14,36
111,Banging/Pounding,5,15,44
112,Banging/Pounding,5,16,49
113,Banging/Pounding,5,17,61
114,Banging/Pounding,5,18,87
115,Banging/Pounding,5,19,82
116,Banging/Pounding,5,20,112
117,Banging/Pounding,5,21,130
118,Banging/Pounding,5,22,151
119,Banging/Pounding,5,23,156
120,Banging/Pounding,6,00,106
121,Banging/Pounding,6,01,67
122,Banging/Pounding,6,02,40
123,Banging/Pounding,6,03,27
124,Banging/Pounding,6,04,15
125,Banging/Pounding,6,05,16
126,Banging/Pounding,6,06,17
127,Banging/Pounding,6,07,25
128,Banging/Pounding,6,08,47
129,Banging/Pounding,6,09,32
130,Banging/Pounding,6,10,37
131,Banging/Pounding,6,11,38
132,Banging/Pounding,6,12,39
133,Banging/Pounding,6,13,25
134,Banging/Pounding,6,14,41
135,Banging/Pounding,6,15,43
136,Banging/Pounding,6,16,36
137,Banging/Pounding,6,17,53
138,Banging/Pounding,6,18,72
139,Banging/Pounding,6,19,67
140,Banging/Pounding,6,20,65
141,Banging/Pounding,6,21,127
142,Banging/Pounding,6,22,149
143,Banging/Pounding,6,23,141
144,Banging/Pounding,7,00,107
145,Banging/Pounding,7,01,66
146,Banging/Pounding,7,02,40
147,Banging/Pounding,7,03,21
148,Banging/Pounding,7,04,13
149,Banging/Pounding,7,05,16
150,Banging/Pounding,7,06,17
151,Banging/Pounding,7,07,24
152,Banging/Pounding,7,08,22
153,Banging/Pounding,7,09,31
154,Banging/Pounding,7,10,41
155,Banging/Pounding,7,11,35
156,Banging/Pounding,7,12,40
157,Banging/Pounding,7,13,35
158,Banging/Pounding,7,14,43
159,Banging/Pounding,7,15,30
160,Banging/Pounding,7,16,33
161,Banging/Pounding,7,17,34
162,Banging/Pounding,7,18,35
163,Banging/Pounding,7,19,51
164,Banging/Pounding,7,20,77
165,Banging/Pounding,7,21,133
166,Banging/Pounding,7,22,149
167,Banging/Pounding,7,23,158
168,Banging/Pounding,8,00,102
169,Banging/Pounding,8,01,51
170,Banging/Pounding,8,02,35
171,Banging/Pounding,8,03,20
172,Banging/Pounding,8,04,18
173,Banging/Pounding,8,05,14
174,Banging/Pounding,8,06,21
175,Banging/Pounding,8,07,19
176,Banging/Pounding,8,08,34
177,Banging/Pounding,8,09,40
178,Banging/Pounding,8,10,39
179,Banging/Pounding,8,11,20
180,Banging/Pounding,8,12,35
181,Banging/Pounding,8,13,32
182,Banging/Pounding,8,14,39
183,Banging/Pounding,8,15,31
184,Banging/Pounding,8,16,25
185,Banging/Pounding,8,17,31
186,Banging/Pounding,8,18,39
187,Banging/Pounding,8,19,53
188,Banging/Pounding,8,20,75
189,Banging/Pounding,8,21,88
190,Banging/Pounding,8,22,97
191,Banging/Pounding,8,23,111
192,Banging/Pounding,9,00,111
193,Banging/Pounding,9,01,59
194,Banging/Pounding,9,02,38
195,Banging/Pounding,9,03,36
196,Banging/Pounding,9,04,20
197,Banging/Pounding,9,05,25
198,Banging/Pounding,9,06,36
199,Banging/Pounding,9,07,39
200,Banging/Pounding,9,08,40
201,Banging/Pounding,9,09,39
202,Banging/Pounding,9,10,33
203,Banging/Pounding,9,11,39
204,Banging/Pounding,9,12,42
205,Banging/Pounding,9,13,29
206,Banging/Pounding,9,14,29
207,Banging/Pounding,9,15,43
208,Banging/Pounding,9,16,50
209,Banging/Pounding,9,17,47
210,Banging/Pounding,9,18,58
211,Banging/Pounding,9,19,56
212,Banging/Pounding,9,20,82
213,Banging/Pounding,9,21,75
214,Banging/Pounding,9,22,104
215,Banging/Pounding,9,23,113
216,Banging/Pounding,10,00,102
217,Banging/Pounding,10,01,53
218,Banging/Pounding,10,02,49
219,Banging/Pounding,10,03,42
220,Banging/Pounding,10,04,39
221,Banging/Pounding,10,05,48
222,Banging/Pounding,10,06,52
223,Banging/Pounding,10,07,41
224,Banging/Pounding,10,08,53
225,Banging/Pounding,10,09,49
226,Banging/Pounding,10,10,45
227,Banging/Pounding,10,11,46
228,Banging/Pounding,10,12,42
229,Banging/Pounding,10,13,30
230,Banging/Pounding,10,14,63
231,Banging/Pounding,10,15,66
232,Banging/Pounding,10,16,51
233,Banging/Pounding,10,17,59
234,Banging/Pounding,10,18,70
235,Banging/Pounding,10,19,94
236,Banging/Pounding,10,20,106
237,Banging/Pounding,10,21,119
238,Banging/Pounding,10,22,151
239,Banging/Pounding,10,23,148
240,Banging/Pounding,11,00,120
241,Banging/Pounding,11,01,75
242,Banging/Pounding,11,02,51
243,Banging/Pounding,11,03,27
244,Banging/Pounding,11,04,32
245,Banging/Pounding,11,05,26
246,Banging/Pounding,11,06,28
247,Banging/Pounding,11,07,51
248,Banging/Pounding,11,08,47
249,Banging/Pounding,11,09,57
250,Banging/Pounding,11,10,54
251,Banging/Pounding,11,11,64
252,Banging/Pounding,11,12,54
253,Banging/Pounding,11,13,55
254,Banging/Pounding,11,14,43
255,Banging/Pounding,11,15,49
256,Banging/Pounding,11,16,49
257,Banging/Pounding,11,17,43
258,Banging/Pounding,11,18,51
259,Banging/Pounding,11,19,87
260,Banging/Pounding,11,20,86
261,Banging/Pounding,11,21,119
262,Banging/Pounding,11,22,153
263,Banging/Pounding,11,23,147
264,Banging/Pounding,12,00,121
265,Banging/Pounding,12,01,92
266,Banging/Pounding,12,02,76
267,Banging/Pounding,12,03,50
268,Banging/Pounding,12,04,36
269,Banging/Pounding,12,05,59
270,Banging/Pounding,12,06,44
271,Banging/Pounding,12,07,45
272,Banging/Pounding,12,08,46
273,Banging/Pounding,12,09,58
274,Banging/Pounding,12,10,74
275,Banging/Pounding,12,11,53
276,Banging/Pounding,12,12,45
277,Banging/Pounding,12,13,55
278,Banging/Pounding,12,14,51
279,Banging/Pounding,12,15,49
280,Banging/Pounding,12,16,51
281,Banging/Pounding,12,17,65
282,Banging/Pounding,12,18,76
283,Banging/Pounding,12,19,67
284,Banging/Pounding,12,20,89
285,Banging/Pounding,12,21,100
286,Banging/Pounding,12,22,131
287,Banging/Pounding,12,23,156
288,Car/Truck Music,1,00,39
289,Car/Truck Music,1,01,22
290,Car/Truck Music,1,02,16
291,Car/Truck Music,1,03,8
292,Car/Truck Music,1,04,6
293,Car/Truck Music,1,05,4
294,Car/Truck Music,1,06,3
295,Car/Truck Music,1,07,5
296,Car/Truck Music,1,08,5
297,Car/Truck Music,1,09,2
298,Car/Truck Music,1,10,9
299,Car/Truck Music,1,11,5
300,Car/Truck Music,1,12,4
301,Car/Truck Music,1,13,9
302,Car/Truck Music,1,14,15
303,Car/Truck Music,1,15,13
304,Car/Truck Music,1,16,14
305,Car/Truck Music,1,17,24
306,Car/Truck Music,1,18,21
307,Car/Truck Music,1,19,11
308,Car/Truck Music,1,20,15
309,Car/Truck Music,1,21,20
310,Car/Truck Music,1,22,52
311,Car/Truck Music,1,23,43
312,Car/Truck Music,2,00,17
313,Car/Truck Music,2,01,22
314,Car/Truck Music,2,02,9
315,Car/Truck Music,2,03,10
316,Car/Truck Music,2,04,5
317,Car/Truck Music,2,05,3
318,Car/Truck Music,2,06,3
319,Car/Truck Music,2,07,4
320,Car/Truck Music,2,08,2
321,Car/Truck Music,2,09,3
322,Car/Truck Music,2,10,1
323,Car/Truck Music,2,11,4
324,Car/Truck Music,2,12,1
325,Car/Truck Music,2,13,5
326,Car/Truck Music,2,14,8
327,Car/Truck Music,2,15,2
328,Car/Truck Music,2,16,16
329,Car/Truck Music,2,17,17
330,Car/Truck Music,2,18,14
331,Car/Truck Music,2,19,11
332,Car/Truck Music,2,20,17
333,Car/Truck Music,2,21,20
334,Car/Truck Music,2,22,12
335,Car/Truck Music,2,23,23
336,Car/Truck Music,3,00,55
337,Car/Truck Music,3,01,29
338,Car/Truck Music,3,02,17
339,Car/Truck Music,3,03,12
340,Car/Truck Music,3,04,5
341,Car/Truck Music,3,05,4
342,Car/Truck Music,3,06,2
343,Car/Truck Music,3,07,3
344,Car/Truck Music,3,08,2
345,Car/Truck Music,3,09,4
346,Car/Truck Music,3,10,13
347,Car/Truck Music,3,11,5
348,Car/Truck Music,3,12,9
349,Car/Truck Music,3,13,14
350,Car/Truck Music,3,14,18
351,Car/Truck Music,3,15,27
352,Car/Truck Music,3,16,34
353,Car/Truck Music,3,17,32
354,Car/Truck Music,3,18,49
355,Car/Truck Music,3,19,35
356,Car/Truck Music,3,20,44
357,Car/Truck Music,3,21,32
358,Car/Truck Music,3,22,61
359,Car/Truck Music,3,23,72
360,Car/Truck Music,4,00,100
361,Car/Truck Music,4,01,37
362,Car/Truck Music,4,02,45
363,Car/Truck Music,4,03,24
364,Car/Truck Music,4,04,31
365,Car/Truck Music,4,05,7
366,Car/Truck Music,4,06,3
367,Car/Truck Music,4,07,3
368,Car/Truck Music,4,08,4
369,Car/Truck Music,4,09,6
370,Car/Truck Music,4,10,3
371,Car/Truck Music,4,11,6
372,Car/Truck Music,4,12,14
373,Car/Truck Music,4,13,12
374,Car/Truck Music,4,14,17
375,Car/Truck Music,4,15,24
376,Car/Truck Music,4,16,28
377,Car/Truck Music,4,17,36
378,Car/Truck Music,4,18,57
379,Car/Truck Music,4,19,62
380,Car/Truck Music,4,20,54
381,Car/Truck Music,4,21,95
382,Car/Truck Music,4,22,84
383,Car/Truck Music,4,23,94
384,Car/Truck Music,5,00,94
385,Car/Truck Music,5,01,48
386,Car/Truck Music,5,02,34
387,Car/Truck Music,5,03,48
388,Car/Truck Music,5,04,23
389,Car/Truck Music,5,05,11
390,Car/Truck Music,5,06,4
391,Car/Truck Music,5,07,7
392,Car/Truck Music,5,08,10
393,Car/Truck Music,5,09,9
394,Car/Truck Music,5,10,5
395,Car/Truck Music,5,11,11
396,Car/Truck Music,5,12,17
397,Car/Truck Music,5,13,24
398,Car/Truck Music,5,14,23
399,Car/Truck Music,5,15,36
400,Car/Truck Music,5,16,45
401,Car/Truck Music,5,17,52
402,Car/Truck Music,5,18,48
403,Car/Truck Music,5,19,99
404,Car/Truck Music,5,20,95
405,Car/Truck Music,5,21,146
406,Car/Truck Music,5,22,145
407,Car/Truck Music,5,23,92
408,Car/Truck Music,6,00,74
409,Car/Truck Music,6,01,59
410,Car/Truck Music,6,02,54
411,Car/Truck Music,6,03,28
412,Car/Truck Music,6,04,29
413,Car/Truck Music,6,05,13
414,Car/Truck Music,6,06,4
415,Car/Truck Music,6,07,6
416,Car/Truck Music,6,08,8
417,Car/Truck Music,6,09,5
418,Car/Truck Music,6,10,11
419,Car/Truck Music,6,11,12
420,Car/Truck Music,6,12,13
421,Car/Truck Music,6,13,14
422,Car/Truck Music,6,14,16
423,Car/Truck Music,6,15,32
424,Car/Truck Music,6,16,32
425,Car/Truck Music,6,17,48
426,Car/Truck Music,6,18,67
427,Car/Truck Music,6,19,80
428,Car/Truck Music,6,20,108
429,Car/Truck Music,6,21,125
430,Car/Truck Music,6,22,123
431,Car/Truck Music,6,23,112
432,Car/Truck Music,7,00,69
433,Car/Truck Music,7,01,61
434,Car/Truck Music,7,02,48
